"","date","round","point","replicate","cloud.cover","precipitation","temperature","wind","sound.avg","hour","minute","time","doy"
"1",2024-04-21,1,12,1,0,"0",71.9,1.5,62.2,9,0.933333333333333,9.93333333333333,112
"2",2024-04-21,1,12,2,0,"0",72.5,1.2,65.5,10,0.05,10.05,112
"3",2024-04-21,1,2,1,0,"0",69.8,2.6,64.9,9,0.516666666666667,9.51666666666667,112
"4",2024-04-21,1,2,2,0,"0",69,1.1,67,9,0.633333333333333,9.63333333333333,112
"5",2024-04-21,1,13,1,0,"0",70.2,1.7,66.5,9,0.1,9.1,112
"6",2024-04-21,1,13,2,0,"0",68.2,1.6,61,9,0.216666666666667,9.21666666666667,112
"7",2024-04-21,1,3,1,0,"0",65.8,0.7,66.8,8,0.583333333333333,8.58333333333333,112
"8",2024-04-21,1,3,2,0,"0",68.7,0.6,67,8,0.7,8.7,112
"9",2024-04-21,1,21,1,0,"0",66.5,0,63.5,8,0.0833333333333333,8.08333333333333,112
"10",2024-04-21,1,21,2,0,"0",68.5,0.7,66.9,8,0.266666666666667,8.26666666666667,112
"11",2024-04-21,1,31,1,0,"0",66.2,0.6,66.2,7,0.45,7.45,112
"12",2024-04-21,1,31,2,0,"0",62.6,0.7,62,7,0.65,7.65,112
"13",2024-04-24,1,1,1,100,"0",61.6,1.1,71.7,9,0.85,9.85,115
"14",2024-04-24,1,1,2,100,"0",62.2,1,70.6,9,0.95,9.95,115
"15",2024-04-24,1,11,1,100,"0",60.9,1.5,71.8,9,0.4,9.4,115
"16",2024-04-24,1,11,2,100,"0",59.3,0.8,71,9,0.5,9.5,115
"17",2024-04-24,1,14,1,100,"0",64.4,0.7,70.7,8,0.95,8.95,115
"18",2024-04-24,1,14,2,100,"0",59.1,1,72.9,9,0.1,9.1,115
"19",2024-04-24,1,16,1,100,"0",58.1,1.5,71.5,8,0.566666666666667,8.56666666666667,115
"20",2024-04-24,1,16,2,100,"0",56.6,1.4,69.7,8,0.683333333333333,8.68333333333333,115
"21",2024-04-24,1,17,1,100,"0",61.2,0.6,72.1,8,0.1,8.1,115
"22",2024-04-24,1,17,2,100,"0",57.5,1.8,73.2,8,0.25,8.25,115
"23",2024-04-24,1,4,1,100,"0",59.9,0.7,71.6,7,0.516666666666667,7.51666666666667,115
"24",2024-04-24,1,4,2,100,"0",58.3,0.7,70,7,0.633333333333333,7.63333333333333,115
"25",2024-04-30,1,10,1,0,"0",60.6,0.7,55.6,8,0.316666666666667,8.31666666666667,121
"26",2024-04-30,1,10,2,0,"0",60.9,0.8,49.9,8,0.45,8.45,121
"27",2024-04-30,1,24,1,0,"0",56.6,0.9,69.2,7,0.783333333333333,7.78333333333333,121
"28",2024-04-30,1,24,2,0,"0",56.3,1,69.6,7,0.916666666666667,7.91666666666667,121
"29",2024-04-30,1,15,1,0,"0",52.9,0.7,64.2,7,0.283333333333333,7.28333333333333,121
"30",2024-04-30,1,15,2,0,"0",54.1,0.8,64.4,7,0.416666666666667,7.41666666666667,121
"31",2024-04-30,1,20,1,0,"0",48.2,0.6,69.7,6,0.883333333333333,6.88333333333333,121
"32",2024-04-30,1,20,2,0,"0",47.5,0.6,68.4,7,0.0333333333333333,7.03333333333333,121
"33",2024-04-30,1,9,1,0,"0",46.7,1.7,49.2,6,0.366666666666667,6.36666666666667,121
"34",2024-04-30,1,9,2,0,"0",47.5,1,49.8,6,0.533333333333333,6.53333333333333,121
"35",2024-05-01,1,6,1,0,"0",56.3,0.7,87.2,7,0.95,7.95,122
"36",2024-05-01,1,6,2,0,"0",57.7,0.7,66.7,8,0.0833333333333333,8.08333333333333,122
"37",2024-05-01,1,23,1,0,"0",47.7,0.6,68.1,7,0.0833333333333333,7.08333333333333,122
"38",2024-05-01,1,23,2,0,"0",49.1,NA,86.9,7,0.2,7.2,122
"39",2024-05-01,1,18,1,0,"0",52.3,0,69.1,7,0.55,7.55,122
"40",2024-05-01,1,18,2,0,"0",50.4,0,73,7,0.65,7.65,122
"41",2024-05-01,1,25,1,0,"0",45.1,0.7,69.5,6,0.483333333333333,6.48333333333333,122
"42",2024-05-01,1,25,2,0,"0",43.4,0.6,69.6,6,0.616666666666667,6.61666666666667,122
