,year,month,day,date,round,point,replicate,cloud.cover,precipitation,temperature,wind,sound.low,sound.avg,sound.high,species,detection,bearing,distance,hour,minute,habitat,notes
1,2024,4,21,4/21/24,1,12,1,0,0,71.9,1.5,35.6,62.2,85.9,HOFI,aud,184,20,9,56,NA,NA
2,2024,4,21,4/21/24,1,12,1,0,0,71.9,1.5,35.6,62.2,85.9,NOMO,vis,80,92,9,58,V,NA
3,2024,4,21,4/21/24,1,12,1,0,0,71.9,1.5,35.6,62.2,85.9,HOFI,vis,89,20,9,59,NA,FO
4,2024,4,21,4/21/24,1,12,1,0,0,71.9,1.5,35.6,62.2,85.9,TUVU,vis,200,50,10,0,NA,FO
5,2024,4,21,4/21/24,1,12,1,0,0,71.9,1.5,35.6,62.2,85.9,CALT,aud,180,40,10,0,V,NA
6,2024,4,21,4/21/24,1,12,2,0,0,72.5,1.2,37.1,65.5,86.6,CALT,aud,160,30,10,3,V,NA
7,2024,4,21,4/21/24,1,12,2,0,0,72.5,1.2,37.1,65.5,86.6,HOFI,vis,210,50,10,4,NA,FO
8,2024,4,21,4/21/24,1,12,2,0,0,72.5,1.2,37.1,65.5,86.6,HOFI,vis,210,50,10,4,NA,FO
9,2024,4,21,4/21/24,1,12,2,0,0,72.5,1.2,37.1,65.5,86.6,AMCR,"aud,vis",65,50,10,4,NA,FO
10,2024,4,21,4/21/24,1,12,2,0,0,72.5,1.2,37.1,65.5,86.6,TUVU,vis,25,NA,10,5,NA,FO
11,2024,4,21,4/21/24,1,12,2,0,0,72.5,1.2,37.1,65.5,86.6,TUVU,vis,25,NA,10,5,NA,FO
12,2024,4,21,4/21/24,1,12,2,0,0,72.5,1.2,37.1,65.5,86.6,HOFI,"aud, vis",160,54,10,6,V,NA
13,2024,4,21,4/21/24,1,2,1,0,0,69.8,2.6,36.1,64.9,84.7,HOFI,aud,45,25,9,31,NA,NA
14,2024,4,21,4/21/24,1,2,1,0,0,69.8,2.6,36.1,64.9,84.7,HOFI,aud,280,NA,9,31,NA,NA
15,2024,4,21,4/21/24,1,2,1,0,0,69.8,2.6,36.1,64.9,84.7,CASJ,aud,80,40,9,31,NA,NA
16,2024,4,21,4/21/24,1,2,1,0,0,69.8,2.6,36.1,64.9,84.7,HOFI,aud,60,10,9,32,NA,NA
17,2024,4,21,4/21/24,1,2,1,0,0,69.8,2.6,36.1,64.9,84.7,HOFI,vis,200,6,9,33,NA,NA
18,2024,4,21,4/21/24,1,2,1,0,0,69.8,2.6,36.1,64.9,84.7,ANHU,"aud, vis",100,21,9,35,NA,FO
19,2024,4,21,4/21/24,1,2,2,0,0,69,1.1,35.3,67,86,AMCR,aud,90,50,9,38,NA,NA
20,2024,4,21,4/21/24,1,2,2,0,0,69,1.1,35.3,67,86,HOFI,aud,300,128,9,39,NA,NA
21,2024,4,21,4/21/24,1,2,2,0,0,69,1.1,35.3,67,86,HOFI,aud,300,128,9,39,NA,NA
22,2024,4,21,4/21/24,1,2,2,0,0,69,1.1,35.3,67,86,HOFI,aud,300,128,9,39,NA,NA
23,2024,4,21,4/21/24,1,2,2,0,0,69,1.1,35.3,67,86,HOFI,vis,310,20,9,40,NA,FO
24,2024,4,21,4/21/24,1,2,2,0,0,69,1.1,35.3,67,86,CALT,"aud, vis",220,45,9,42,V,NA
25,2024,4,21,4/21/24,1,2,2,0,0,69,1.1,35.3,67,86,HOFI,aud,150,NA,9,43,NA,FO
26,2024,4,21,4/21/24,1,2,2,0,0,69,1.1,35.3,67,86,NOMO,"aud, vis",260,31,9,43,NA,NA
27,2024,4,21,4/21/24,1,13,1,0,0,70.2,1.7,35.3,66.5,85.8,BLPH,aud,345,132,9,6,NA,NA
28,2024,4,21,4/21/24,1,13,1,0,0,70.2,1.7,35.3,66.5,85.8,GTGR,vis,80,60,9,6,NA,FO
29,2024,4,21,4/21/24,1,13,1,0,0,70.2,1.7,35.3,66.5,85.8,BRBL,vis,260,63,9,6,NA,NA
30,2024,4,21,4/21/24,1,13,1,0,0,70.2,1.7,35.3,66.5,85.8,RWBL,aud,260,NA,9,7,NA,NA
31,2024,4,21,4/21/24,1,13,1,0,0,70.2,1.7,35.3,66.5,85.8,HOFI,aud,75,25,9,8,NA,NA
32,2024,4,21,4/21/24,1,13,1,0,0,70.2,1.7,35.3,66.5,85.8,NOMO,vis,150,65,9,9,NA,NA
33,2024,4,21,4/21/24,1,13,1,0,0,70.2,1.7,35.3,66.5,85.8,RWBL,aud,275,NA,9,9,NA,NA
34,2024,4,21,4/21/24,1,13,1,0,0,70.2,1.7,35.3,66.5,85.8,RTHA,vis,350,131,9,10,NA,NA
35,2024,4,21,4/21/24,1,13,2,0,0,68.2,1.6,34.6,61,82.4,RWBL,"aud, vis",260,150,9,13,V,NA
36,2024,4,21,4/21/24,1,13,2,0,0,68.2,1.6,34.6,61,82.4,NOMO,vis,152,62,9,13,NA,NA
37,2024,4,21,4/21/24,1,13,2,0,0,68.2,1.6,34.6,61,82.4,AMCR,vis,90,40,9,14,NA,NA
38,2024,4,21,4/21/24,1,13,2,0,0,68.2,1.6,34.6,61,82.4,HOFI,aud,75,38,9,14,NA,NA
39,2024,4,21,4/21/24,1,13,2,0,0,68.2,1.6,34.6,61,82.4,RWBL,aud,350,119,9,14,NA,NA
40,2024,4,21,4/21/24,1,13,2,0,0,68.2,1.6,34.6,61,82.4,RWBL,aud,350,119,9,14,NA,NA
41,2024,4,21,4/21/24,1,13,2,0,0,68.2,1.6,34.6,61,82.4,RWBL,aud,350,119,9,14,NA,NA
42,2024,4,21,4/21/24,1,13,2,0,0,68.2,1.6,34.6,61,82.4,MODO,vis,200,50,9,15,NA,FO
43,2024,4,21,4/21/24,1,13,2,0,0,68.2,1.6,34.6,61,82.4,RWBL,vis,250,190,9,16,V,on nest box
44,2024,4,21,4/21/24,1,3,1,0,0,65.8,0.7,33.6,66.8,89.8,COYE,aud,145,25,8,35,NA,NA
45,2024,4,21,4/21/24,1,3,1,0,0,65.8,0.7,33.6,66.8,89.8,RWBL,aud,175,NA,8,35,NA,NA
46,2024,4,21,4/21/24,1,3,1,0,0,65.8,0.7,33.6,66.8,89.8,RWBL,aud,175,NA,8,35,NA,NA
47,2024,4,21,4/21/24,1,3,1,0,0,65.8,0.7,33.6,66.8,89.8,ANHU,aud,250,19,8,35,NA,mating display
