point,ACWO,AMCO,AMCR,AMGO,AMKE,AMRO,ANHU,ATFL,BARS,BEWR,BHCO,BHGR,BLGR,BLPH,BRBL,BUOR,BUSH,CAKI,CALT,CAQU,CASJ,CATH,CBCH,CLSW,COYE,DCCO,DEJU,EUCD,EUST,GBHE,GTGR,HAWO,HOFI,HOOR,HOWR,KILL,LAGO,LASP,LAZB,LEGO,MALL,MODO,NOFL,NOMO,NUWO,OATI,ROPI,RSHA,RTHA,RWBL,SAPH,SOSP,SPTO,STJA,TRES,TUVU,VGSW,WBNU,WCSP,WEBL,WEFL,WEKI,WEME,WETA,WEWP,WIWA,WREN,YEWA
1,0,0,2,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,3,2,1,0,0,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,8,0,0,0,0,25,0,0,0,0,1,1,0,0,0,0,0,0,0
2,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,2,0,1,0,1,0,0,0,0,0,0,2,0,0,0,0,6,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
3,3,0,1,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,1,0,4,0,2,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,6,0,0,0,0,1,1,3,0,1,0,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,1,0,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,2,0,0,1,0,2,0,0,0,0,2,4,0,0,0,1,1,0,0,1,0,0,2,1,0,0,0,0,0,0,1,1,0,0,0,1,2,0,0
6,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,2,0,0,0,1,0,1,1,2,0,0,0,1,0,0,0,0,0,2,1,0,0,0,0,0,0,2,2,0,0,0,0,0,1,1
7,3,0,3,0,0,1,0,0,0,1,0,0,0,0,1,0,0,3,1,1,2,0,0,2,0,0,0,0,1,0,1,0,7,1,0,0,0,0,0,0,4,1,0,0,0,2,0,1,0,0,0,0,1,0,1,0,0,0,0,1,2,1,0,0,0,0,0,0
8,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,2,2,2,0,0,4,0,0,0,1,10,0,0,0,5,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,1,0,0,0,0,0,1,0,0,0,1,1,0,1,3,0,2,2,1,0,1,0,0,0,0,0,0,2,4,0,0,0,3,2,1,0,3,0,0,5,0,0,0,0,0,2,0,0,0,6,0,1,1,0,0,0,0,0,0,0,1,2,0,0,0,0,1,0
10,0,0,2,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
11,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,3,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,9,0,3,0,0,20,0,0,0,0,0,1,0,0,0,0,0,0,0
12,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
13,0,0,1,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,2,5,0,1,0,2,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
14,1,0,4,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,2,0,2,0,0,0,1,0,1,2,0,0,0,0,0,5,3,0,0,0,0,0,1,0,0,0,0,0,0
15,0,1,1,0,1,0,0,2,2,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,0,1,0,0,0,0,1,5,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,1,1,0,1,1,0,0,0,1,0,1,0,0,0,0,1,1
16,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,1,0,0,0,17,0,0,0,2,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,12,0,1,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0
17,0,0,0,0,2,1,2,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,1,0,0,0,1,4,0,0,0,2,0,0,0,0,0,0,1,1,4,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
18,2,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,1,0,0,0,2,0,0,0,2,1,0,0,0,1,0,2,0,2,0,0,0,1,0,0,0,0,0,2,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0
19,0,0,2,0,0,0,0,0,0,0,0,0,1,2,0,0,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,3,1,0,0,2,13,0,0,0,0,0,0,0,0,0,0,0
20,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,1,0,0,8,1,0,0,0,2,0,0,0,7,0,0,0,0,0,0,2,0,2,0,1,0,0,0,0,1,12,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
21,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,3,1,0,0,0,0,0
